id,created_at,full_text,full_text_preprocessed,entities.symbols,num_cashtags,query_params
1510404385750192132,Sat Apr 02 23:50:42 +0000 2022,$SPY One day I will own so much $HOOD that every retail yolo option gambler on here using it will fund my next investment. ✅,spy one day i will own so much hood that every retail yolo option gambler on here using it will fund my next investment,"[{'text': 'SPY', 'indices': [0, 4]}, {'text': 'HOOD', 'indices': [32, 37]}]",2,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404343995981824,Sat Apr 02 23:50:32 +0000 2022,$SPY One day I will own so much $HOOD that every retail yolo option gambler on here using it will fund my next investment.,spy one day i will own so much hood that every retail yolo option gambler on here using it will fund my next investment,"[{'text': 'SPY', 'indices': [0, 4]}, {'text': 'HOOD', 'indices': [32, 37]}]",2,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510403348914229250,Sat Apr 02 23:46:34 +0000 2022,"New extended trading hours for retailers, more otc gain, more profit, choppy times.  😂 $HOOD

Quick look on chart shows 2 successive higher lows off what was last know support of $10. Now $13.60 and testing another higher low. https://t.co/tWN56QoAyC",new extended trading hours for retailers more otc gain more profit choppy times hoodquick look on chart shows successive higher lows off what was last know support of  now  and testing another higher low,"[{'text': 'HOOD', 'indices': [87, 92]}]",1,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510396584231522304,Sat Apr 02 23:19:42 +0000 2022,"Tom is always right.

$Hood https://t.co/IjEiYwdvMg",tom is always righthood,"[{'text': 'Hood', 'indices': [22, 27]}]",1,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510396377381093383,Sat Apr 02 23:18:52 +0000 2022,"$HOOD big volume buying into low volume pullback here, like a swing long in this area. https://t.co/hkREJSnPEL",hood big volume buying into low volume pullback here like a swing long in this area,"[{'text': 'HOOD', 'indices': [0, 5]}]",1,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510392971530846208,Sat Apr 02 23:05:20 +0000 2022,"@CathieDWood Then why didn’t you hold $pltr for AT LEAST 3 years!!!!

What kind of hypocrisy and delusion is this 🤡😂

You trade it for $hood which is basically the HITLER of investing apps 😂 funny VLAD and PUTIN have the same name 👺

Young investors HATE ROBINHOOD 🧐

SO OUT OF TOUCH 🤡 https://t.co/kqTNbinmHx",then why didnt you hold pltr for at least yearswhat kind of hypocrisy and delusion is this you trade it for hood which is basically the hitler of investing apps funny vlad and putin have the same name young investors hate robinhood so out of touch,"[{'text': 'pltr', 'indices': [38, 43]}, {'text': 'hood', 'indices': [135, 140]}]",2,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510385661353811970,Sat Apr 02 22:36:17 +0000 2022,"@zerohedge Hey @CathieDWood @ARKInvest mark this. 

Selling $pltr for companies that are not innovative and have MULTIPLE direct competitors is your BIGGEST MISTAKE. $zm $hood $tdoc the list goes on&amp;on.

Your positions aren’t on the forefront of anything. What’s your avg in $rblx ? $60 😂 https://t.co/lTz8PBa84L",hey mark this selling pltr for companies that are not innovative and have multiple direct competitors is your biggest mistake zm hood tdoc the list goes onampnyour positions arent on the forefront of anything whats your avg in rblx  ,"[{'text': 'pltr', 'indices': [60, 65]}, {'text': 'zm', 'indices': [166, 169]}, {'text': 'hood', 'indices': [170, 175]}, {'text': 'tdoc', 'indices': [176, 181]}, {'text': 'rblx', 'indices': [279, 284]}]",5,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510374323554603021,Sat Apr 02 21:51:14 +0000 2022,Need $SHIB on $hood https://t.co/8V10C5fB2U,need shib on hood,"[{'text': 'SHIB', 'indices': [5, 10]}, {'text': 'hood', 'indices': [14, 19]}]",2,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510373853259833345,Sat Apr 02 21:49:22 +0000 2022,$HOOD seeing sustained chatter on wallstreetbets over the last few daysVia https://t.co/yLo2tfRLvp#hood    #wallstreetbets  #stocks https://t.co/0CR5bx97yC,hood seeing sustained chatter on wallstreetbets over the last few daysvia,"[{'text': 'HOOD', 'indices': [0, 5]}]",1,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510369135250878464,Sat Apr 02 21:30:37 +0000 2022,"04/03 06:30:34
FinTech：Daily/3month
$DLO +4.00%/-8.27%
$BILL +2.52%/-0.45%
$PYPL +0.88%/-40.15%
$AFRM +0.71%/-51.05%
$MQ +0.54%/-38.33%
$UPST -0.05%/-24.63%
$HOOD -0.07%/-26.79%
$SOFI -1.27%/-40.50%
$SQ -1.46%/-18.54%
$COIN -1.53%/-25.53% https://t.co/RUIu66IAxk", fintechdailymonthdlo bill pypl afrm mq upst hood sofi sq coin ,"[{'text': 'DLO', 'indices': [36, 40]}, {'text': 'BILL', 'indices': [55, 60]}, {'text': 'PYPL', 'indices': [75, 80]}, {'text': 'AFRM', 'indices': [96, 101]}, {'text': 'MQ', 'indices': [117, 120]}, {'text': 'UPST', 'indices': [136, 141]}, {'text': 'HOOD', 'indices': [157, 162]}, {'text': 'SOFI', 'indices': [178, 183]}, {'text': 'SQ', 'indices': [199, 202]}, {'text': 'COIN', 'indices': [218, 223]}]",10,query:$HOOD -$TLRY -$GME -$TSLA -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
